platform,category,subcategory,clicked_label,name,brand,base_product_id,group_id,merchant_type,mrp,price,weight,shelf_life_in_hours,eta,availability,inventory,store_id,product_url,image_url,scraped_at,pincode_input
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Peeled Garlic (Bellulli),Unknown,508001,1923721,express,150.0,63.0,100 g,,11 minutes,In Stock,14,33966,https://blinkit.com/prn/peeled-garlic-(bellulli)/prid/508001,https://cdn.grofers.com/da/cms-assets/cms/product/d3dc6f2b-7d67-4e41-8da8-40d08967796e.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Coriander Bunch (Kottambari Soppu),Unknown,3889,1915889,express,7.0,1.0,100 g,,11 minutes,In Stock,4,33966,https://blinkit.com/prn/coriander-bunch-(kottambari-soppu)/prid/3889,https://cdn.grofers.com/da/cms-assets/cms/product/cc8401ed-66f1-4d31-9e89-d5eace0a9665.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Broccoli (Kosugadde),Unknown,271992,37413,express,35.0,25.0,200 g,,11 minutes,In Stock,12,33966,https://blinkit.com/prn/broccoli-(kosugadde)/prid/271992,https://cdn.grofers.com/da/cms-assets/cms/product/802c6f61-b62e-40b8-bc11-80fef6ae2d4e.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Organically Grown Cauliflower (Hoo Kosu),Unknown,602182,1329139,express,107.0,83.0,300 g,,11 minutes,In Stock,6,33966,https://blinkit.com/prn/organically-grown-cauliflower-(hoo-kosu)/prid/602182,https://cdn.grofers.com/da/cms-assets/cms/product/c59da32a-cb09-4dbc-b42b-3007cd7a781b.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Organically Grown Ginger (Shunti),Unknown,602584,1329152,express,34.0,27.0,100 g,,11 minutes,In Stock,44,33966,https://blinkit.com/prn/organically-grown-ginger-(shunti)/prid/602584,https://cdn.grofers.com/da/cms-assets/cms/product/6d5e4c9a-0e9a-46e8-8b84-d7cb1f4b5fc7.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Onion (Eerulli),Freshbury,530158,2465575,express,38.0,29.0,1 kg,,11 minutes,In Stock,50,33966,https://blinkit.com/prn/onion-(eerulli)/prid/530158,https://cdn.grofers.com/da/cms-assets/cms/product/f53c1ea1-cfa0-438b-a14c-b4f5ebeed7dd.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Onion (Eerulli),Freshbury,391306,2465575,express,54.0,42.0,950 - 1050 g,,11 minutes,Out of Stock,0,33966,https://blinkit.com/prn/onion-(eerulli)/prid/391306,https://cdn.grofers.com/da/cms-assets/cms/product/1ec5d712-5139-43b6-b4c9-b0e2efeeeb2c.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Potato (Alugadde),Unknown,354997,116435,express,34.0,29.0,1 kg,,11 minutes,In Stock,50,33966,https://blinkit.com/prn/potato-(alugadde)/prid/354997,https://cdn.grofers.com/da/cms-assets/cms/product/47aacb59-7ce0-438a-9c8d-208e6901fef4.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Potato - Pack of 2 (Alugadde),Unknown,596513,116435,express,70.0,57.0,2 x 1 kg,,11 minutes,In Stock,50,33966,https://blinkit.com/prn/potato---pack-of-2-(alugadde)/prid/596513,https://cdn.grofers.com/da/cms-assets/cms/product/6ba5c975-f3cd-426e-81fa-6569998f2b85.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Potato (Alugadde),Unknown,421746,116435,express,65.0,48.0,(0.95-1.05) kg,,11 minutes,Out of Stock,0,33966,https://blinkit.com/prn/potato-(alugadde)/prid/421746,https://cdn.grofers.com/da/cms-assets/cms/product/f78d7a28-411e-4b8c-b19b-dbeed64020a1.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Organically Grown Green Cucumber (Southekayi),Freshbury,602591,1329168,express,35.0,28.0,500 g,,11 minutes,In Stock,8,33966,https://blinkit.com/prn/organically-grown-green-cucumber-(southekayi)/prid/602591,https://cdn.grofers.com/da/cms-assets/cms/product/62b2c463-ebc7-4074-82eb-9f6c44a09175.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Organically Grown Chilli (Menasinakayi),Unknown,602184,1329141,express,25.0,20.0,100 g,,11 minutes,In Stock,11,33966,https://blinkit.com/prn/organically-grown-chilli-(menasinakayi)/prid/602184,https://cdn.grofers.com/da/cms-assets/cms/product/e1c633a2-6539-4254-9772-64859f7781f6.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Hybrid Tomato 500 g,Unknown,3881,1326983,express,35.0,21.0,500 g,,11 minutes,In Stock,50,33966,https://blinkit.com/prn/hybrid-tomato-500-g/prid/3881,https://cdn.grofers.com/da/cms-assets/cms/product/4cd11feb-f6df-4830-9fa1-a5f39f08fc3f.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Hybrid Tomato 500 g - Pack of 2,Unknown,487714,1326983,express,70.0,42.0,2 x 500 g,,11 minutes,In Stock,50,33966,https://blinkit.com/prn/hybrid-tomato-500-g---pack-of-2/prid/487714,https://cdn.grofers.com/da/cms-assets/cms/product/cdce8f1f-ff2d-43e6-a441-c8aa62a99f74.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Coriander (Without Roots) (Kottambari Soppu),Unknown,365421,1923157,express,89.0,17.0,100 g,,11 minutes,In Stock,2,33966,https://blinkit.com/prn/coriander-(without-roots)-(kottambari-soppu)/prid/365421,https://cdn.grofers.com/da/cms-assets/cms/product/b77455ba-c381-4c8a-b170-fe65e5c664fb.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Coriander (Without Roots) - Pack of 2 (Kottambari Soppu),Unknown,686512,1923157,express,178.0,33.0,2 x 100 g,,11 minutes,In Stock,1,33966,https://blinkit.com/prn/coriander-(without-roots)---pack-of-2-(kottambari-soppu)/prid/686512,https://cdn.grofers.com/da/cms-assets/cms/product/06872ca9-b277-4432-a5a6-23542fe097fa.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Orange Carrot,Unknown,327916,116236,express,36.0,29.0,500 g,,11 minutes,In Stock,14,33966,https://blinkit.com/prn/orange-carrot/prid/327916,https://cdn.grofers.com/da/cms-assets/cms/product/3de12ff4-882f-40c0-98d8-ff082ecdcf58.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Curry Leaves (Karibevina Soppu),Unknown,17643,97495,express,28.0,21.0,100 g,,11 minutes,In Stock,19,33966,https://blinkit.com/prn/curry-leaves-(karibevina-soppu)/prid/17643,https://cdn.grofers.com/da/cms-assets/cms/product/e80c9bc6-02e3-47af-8a45-bc8dba262eab.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Mixed Sprouts (Molke Kalu),Unknown,196281,1920733,express,75.0,46.0,200 g,,11 minutes,In Stock,5,33966,https://blinkit.com/prn/mixed-sprouts-(molke-kalu)/prid/196281,https://cdn.grofers.com/da/cms-assets/cms/product/5b817cea-9c04-4699-8ab2-02de62e13f3e.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,English Cucumber (Southekayi),Unknown,23343,116707,express,18.0,12.0,500 g,,11 minutes,In Stock,3,33966,https://blinkit.com/prn/english-cucumber-(southekayi)/prid/23343,https://cdn.grofers.com/da/cms-assets/cms/product/60c2cecc-5df5-48f4-8a55-194914079d59.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Green Cucumber (Southekayi),Freshbury,10088,116228,express,27.0,20.0,500 g,,11 minutes,In Stock,6,33966,https://blinkit.com/prn/green-cucumber-(southekayi)/prid/10088,https://cdn.grofers.com/da/cms-assets/cms/product/e29ff4ab-7a96-4b90-b251-0489fa0416a2.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Organically Grown Beetroot,Unknown,602177,1329129,express,77.0,58.0,250 g,,11 minutes,In Stock,7,33966,https://blinkit.com/prn/organically-grown-beetroot/prid/602177,https://cdn.grofers.com/da/cms-assets/cms/product/85cc6e4a-26a9-4a9d-ae68-413e0e45a096.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Organically Grown Bitter Gourd (Hagalakayi),Freshbury,602179,1329134,express,49.0,38.0,250 g,,11 minutes,In Stock,4,33966,https://blinkit.com/prn/organically-grown-bitter-gourd-(hagalakayi)/prid/602179,https://cdn.grofers.com/da/cms-assets/cms/product/dd96558f-08ca-4d9a-b763-fa2245864ce5.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Green Peas (Peeled) (Battani),Unknown,327128,1922160,express,250.0,72.0,200 g,,11 minutes,In Stock,4,33966,https://blinkit.com/prn/green-peas-(peeled)-(battani)/prid/327128,https://cdn.grofers.com/da/cms-assets/cms/product/7d82028c-c189-4e8d-bff8-a31f197f5cdd.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Green Moong Sprouts (Molke Kalu),Unknown,445281,1922753,express,70.0,46.0,150 g,,11 minutes,In Stock,2,33966,https://blinkit.com/prn/green-moong-sprouts-(molke-kalu)/prid/445281,https://cdn.grofers.com/da/cms-assets/cms/product/cbc357af-38c8-45c8-8afa-a1a5703dc1af.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Red Bell Pepper (Kempu Dappa Menasina Kaayi),Unknown,39394,180108,express,25.0,19.0,125 g,,11 minutes,In Stock,3,33966,https://blinkit.com/prn/red-bell-pepper-(kempu-dappa-menasina-kaayi)/prid/39394,https://cdn.grofers.com/da/cms-assets/cms/product/b6aa0ba8-3dbc-4d8f-aaf8-1b99ed8911b3.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Lady Finger (Bendekayi),Unknown,3898,30586,express,22.0,15.0,250 g,,11 minutes,In Stock,23,33966,https://blinkit.com/prn/lady-finger-(bendekayi)/prid/3898,https://cdn.grofers.com/da/cms-assets/cms/product/55b60fb8-ab99-491c-89df-08aa8959f060.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Lady Finger - Pack of 2 (Bendekayi),Unknown,742770,30586,express,44.0,27.0,2 x 250 g,,11 minutes,In Stock,11,33966,https://blinkit.com/prn/lady-finger---pack-of-2-(bendekayi)/prid/742770,https://cdn.grofers.com/da/cms-assets/cms/product/1db0277f-9207-41f0-80c7-2e87171cc45d.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Garlic (Bellulli),Unknown,355004,633794,express,34.0,27.0,100 g,,11 minutes,In Stock,21,33966,https://blinkit.com/prn/garlic-(bellulli)/prid/355004,https://cdn.grofers.com/da/cms-assets/cms/product/f8fbe189-dd5b-42df-96fe-bee031501f90.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Spinach (without roots),Unknown,312160,1922564,express,37.0,29.0,200 g,,11 minutes,In Stock,13,33966,https://blinkit.com/prn/spinach-(without-roots)/prid/312160,https://cdn.grofers.com/da/cms-assets/cms/product/e6119688-845c-4a9b-89e5-40341226f8a6.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Cauliflower (Hoo Kosu),Unknown,438113,19906,express,31.0,24.0,300 g,,11 minutes,In Stock,41,33966,https://blinkit.com/prn/cauliflower-(hoo-kosu)/prid/438113,https://cdn.grofers.com/da/cms-assets/cms/product/fb9365d2-03b3-4ca6-8ae9-4ed9f18d9ac4.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Haricot Beans (Hurulikayi),Unknown,22982,31619,express,19.0,15.0,250 g,,11 minutes,In Stock,18,33966,https://blinkit.com/prn/haricot-beans-(hurulikayi)/prid/22982,https://cdn.grofers.com/da/cms-assets/cms/product/79322b2b-0a6b-4928-b338-c9f9b2660059.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Yellow Bell Pepper (Haladi Dappa Menasina Kaayi),Unknown,39395,180109,express,25.0,19.0,125 g,,11 minutes,In Stock,2,33966,https://blinkit.com/prn/yellow-bell-pepper-(haladi-dappa-menasina-kaayi)/prid/39395,https://cdn.grofers.com/da/cms-assets/cms/product/a6731bbf-c3aa-476e-b488-1fd5ff2da89f.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Bottle Gourd (Sore Kayi),Freshbury,217614,634541,express,23.0,18.0,400 g,,11 minutes,In Stock,9,33966,https://blinkit.com/prn/bottle-gourd-(sore-kayi)/prid/217614,https://cdn.grofers.com/da/cms-assets/cms/product/58b83d0a-58e2-4313-80a4-758677cd7de6.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Cabbage (Yele Kosu),Unknown,339152,37350,express,25.0,19.0,400 g,,11 minutes,In Stock,11,33966,https://blinkit.com/prn/cabbage-(yele-kosu)/prid/339152,https://cdn.grofers.com/da/cms-assets/cms/product/af44ec08-3e9d-442e-8f7d-17ff2a2b260b.png,2026-01-17 14:28:50,560001
blinkit,Vegetables Fruits,Vegetables,Vegetables Fruits > Vegetables,Pumpkin Yellow (Cut) (Kumbalakayi),Unknown,502588,705340,express,70.0,40.0,200 g,,11 minutes,In Stock,1,33966,https://blinkit.com/prn/pumpkin-yellow-(cut)-(kumbalakayi)/prid/502588,https://cdn.grofers.com/da/cms-assets/cms/product/c79f0888-7f33-4b6a-a5b1-065c8d59ed06.png,2026-01-17 14:28:50,560001
